"ipa","syl","son","cons","cont","delrel","lat","nas","strid","voi","sg","cg","ant","cor","distr","lab","hi","lo","back","round","velaric","tense","long"
"ɖʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","0","-1"
"ʈʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","0","1"
"ɖʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","0","1"
"ɖ̤ː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","-1","-1","-1","-1","-1","0","1"
"tʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","0","-1"
"d̤","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","0","-1"
"dʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","0","-1"
"tʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","0","1"
"dʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","0","1"
"d̤ː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","-1","-1","-1","-1","-1","0","1"
"t̪ʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","-1","-1","-1","-1","-1","0","-1"
"d̪̤","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","1","-1","-1","-1","-1","-1","-1","0","-1"
"d̪ʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","1","-1","-1","-1","-1","-1","-1","0","-1"
"t̪ʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","-1","-1","-1","-1","-1","0","1"
"d̪ʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","1","-1","-1","-1","-1","-1","-1","0","1"
"d̪̤ː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","1","-1","-1","-1","-1","-1","-1","0","1"
"pʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","-1","0","1","-1","-1","-1","-1","-1","0","-1"
"b̤","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","-1","0","1","-1","-1","-1","-1","-1","0","-1"
"bʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","-1","0","1","-1","-1","-1","-1","-1","0","-1"
"pʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","-1","0","1","-1","-1","-1","-1","-1","0","1"
"bʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","-1","0","1","-1","-1","-1","-1","-1","0","1"
"b̤ː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","-1","0","1","-1","-1","-1","-1","-1","0","1"
"p͡tʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","1","-1","-1","-1","-1","-1","0","-1"
"b͡d̤","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","1","-1","-1","-1","-1","-1","0","-1"
"b͡dʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","1","-1","-1","-1","-1","-1","0","-1"
"p͡tʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","1","-1","-1","-1","-1","-1","0","1"
"b͡dʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","1","-1","-1","-1","-1","-1","0","1"
"b͡d̤ː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","1","-1","-1","-1","-1","-1","0","1"
"qˤʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","-1","1","1","-1","-1","0","-1"
"qʰˤ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","-1","1","1","-1","-1","0","-1"
"ɢˤʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","-1","1","1","-1","-1","0","-1"
"ɢʰˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","-1","1","1","-1","-1","0","-1"
"ɢ̤ˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","-1","1","1","-1","-1","0","-1"
"ʈˤʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"ʈʰˤ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"ɖˤʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"ɖʰˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"ɖ̤ˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"tˤʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"tʰˤ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"dˤʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"dʰˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"d̤ˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","-1","1","1","-1","-1","0","-1"
"t̪ˤʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","-1","1","1","-1","-1","0","-1"
"t̪ʰˤ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","-1","1","1","-1","-1","0","-1"
"d̪ˤʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","1","-1","-1","1","1","-1","-1","0","-1"
"d̪ʰˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","1","-1","-1","1","1","-1","-1","0","-1"
"d̪̤ˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","1","-1","-1","1","1","-1","-1","0","-1"
"pˤʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","-1","0","1","-1","1","1","-1","-1","0","-1"
"pʰˤ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","-1","0","1","-1","1","1","-1","-1","0","-1"
"bˤʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","-1","0","1","-1","1","1","-1","-1","0","-1"
"bʰˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","-1","0","1","-1","1","1","-1","-1","0","-1"
"b̤ˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","-1","0","1","-1","1","1","-1","-1","0","-1"
"p͡tˤʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","1","-1","1","1","-1","-1","0","-1"
"p͡tʰˤ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","1","-1","1","1","-1","-1","0","-1"
"b͡dˤʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","1","-1","1","1","-1","-1","0","-1"
"b͡dʰˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","1","-1","1","1","-1","-1","0","-1"
"b͡d̤ˤ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","1","-1","1","1","-1","-1","0","-1"
"cʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"kʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"qʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"cʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"cʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"kʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"qʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɟ̤","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɡʰʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɟʰʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɢʰʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɟʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɡ̤ʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɟ̤ʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɢ̤ʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɢʲʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɡʲʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"ɟʲʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","-1"
"cʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","1"
"ɟʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","1"
"ɟ̤ː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","-1","-1","0","1"
"cʰᶣ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","1","-1","0","-1"
"kʰᶣ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","1","-1","0","-1"
"qʰᶣ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","-1","1","-1","0","-1"
"ɡʰᶣ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","1","-1","0","-1"
"ɟʰᶣ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","1","-1","0","-1"
"ɢʰᶣ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","-1","1","-1","0","-1"
"cʰˠ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"kʰˠ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"qʰˠ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"kʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"ɡ̤","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"ɡʰˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"ɟʰˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"ɢʰˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"ɡʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"ɡ̤ˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"ɟ̤ˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"ɢ̤ˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","-1"
"kʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","1"
"ɡʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","1"
"ɡ̤ː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","-1","-1","0","1"
"cʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"kʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"qʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"cʰʷ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"kʰʷ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"qʰʷ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"cʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"kʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"qʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"cʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"kʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"qʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɡʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɟʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɢʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɡʰʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɟʰʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɢʰʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɡʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɟʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɢʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɡ̤ʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɟ̤ʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɢ̤ʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɡʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɟʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"ɢʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","-1"
"cʷʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","1"
"kʷʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","1"
"qʷʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","1"
"ɟʷʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","1"
"ɡʷʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","1"
"ɢʷʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","-1","0","-1","1","-1","1","1","-1","0","1"
"ʈʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"ʈʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"ɖʰʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"ɖ̤ʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"ɖʲʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"ʈʰᶣ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","-1","1","-1","0","-1"
"ɖʰᶣ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","-1","1","-1","0","-1"
"ʈʰˠ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","1","-1","-1","0","-1"
"ɖʰˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","1","-1","-1","0","-1"
"ɖ̤ˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","1","-1","-1","0","-1"
"ʈʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ʈʰʷ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ʈʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ʈʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ɖʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ɖʰʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ɖʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ɖ̤ʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ɖʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ʈʷʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","1"
"ɖʷʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","-1","1","-1","-1","1","-1","1","1","-1","0","1"
"ǂʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","0","-1","1","0","-1"
"ǂʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","0","-1","1","0","1"
"ǂʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","-1","-1","1","0","-1"
"ǂʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","-1","-1","1","0","-1"
"ǂʰᶣ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","-1","1","1","0","-1"
"ǂʰˠ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","1","-1","1","0","-1"
"ǂʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","1","1","1","0","-1"
"ǂʰʷ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","1","1","1","0","-1"
"ǂʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","1","1","1","0","-1"
"ǂʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","1","1","1","0","-1"
"ǂʷʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","-1","1","1","-1","1","-1","1","1","1","0","1"
"ǃʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","0","-1","1","0","-1"
"ǃʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","0","-1","1","0","1"
"ǃʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","-1","-1","1","0","-1"
"tʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"ǃʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","-1","-1","1","0","-1"
"tʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"dʰʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"d̤ʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"dʲʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","-1","-1","-1","0","-1"
"ǃʰᶣ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","-1","1","1","0","-1"
"tʰᶣ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","-1","1","-1","0","-1"
"dʰᶣ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","-1","1","-1","0","-1"
"ǃʰˠ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","-1","1","0","-1"
"tʰˠ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","-1","-1","0","-1"
"dʰˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","1","-1","-1","0","-1"
"d̤ˠ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","1","-1","-1","0","-1"
"ǃʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","1","0","-1"
"tʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ǃʰʷ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","1","0","-1"
"tʰʷ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ǃʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","1","0","-1"
"tʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ǃʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","1","0","-1"
"tʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"dʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"dʰʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"dʷˠʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"d̤ʷ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"dʲʷʰ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","-1"
"ǃʷʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","1","0","1"
"tʷʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","1"
"dʷʰː","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","-1","-1","1","-1","1","1","-1","0","1"
"ǀʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","1","-1","0","-1","1","0","-1"
"ǀʰː","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","1","-1","0","-1","1","0","1"
"ǀʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","1","-1","-1","-1","1","0","-1"
"t̪ʰʲ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","1","-1","-1","-1","-1","0","-1"
"ǀʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","1","-1","-1","-1","1","0","-1"
"t̪ʲʰ","-1","-1","1","-1","-1","-1","-1","0","-1","1","-1","1","1","1","-1","1","-1","-1","-1","-1","0","-1"
"d̪ʰʲ","-1","-1","1","-1","-1","-1","-1","0","1","1","-1","1","1","1","-1","1","-1","-1","-1","-1","0","-1"
