"Glottocode","ISO","Lect","lon","lat","Family","Type","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition","Phoneme","Tone","Onset","Nucleus","Coda","Note"
"aoua1234","aou","A'ou",105.85,26.8,"Tai-Kadai","BOOK","Li, Xia and Li, Jinfang and Luo, Yongxian","2014","A Grammar of Zoulei (Southwest China)","Peter Lang",,,,,,,,,"p t k q ʔ pʰ tʰ kʰ qʰ d t͡s t͡ɕ t͡sʰ t͡ɕʰ m n ŋ l ɭ f s ɬ ɕ χ h v z ʑ ɣ ʁ w j a e i ɯ ɔ u ɤ ə o","55 33 13 31","p t k q ʔ pʰ tʰ kʰ qʰ d t͡s t͡ɕ t͡sʰ t͡ɕʰ m n ŋ l ɭ f s ɬ ɕ χ h v z ʑ ɣ ʁ w j pl bl vl ml","a e i z ɔ u ai ei ui əu aɯ əɯ iu ɤu ia ie iɔ ua iau iəɯ iəu uai uau uəɯ uei","# n ŋ",
"abaz1241","abq","Abaza",42,44.25,"Abkhaz-Adyge","INCOLLECTION","Lomtatidze, Ketevan and Klychev, Rauf","1989","Abaza","Caravan Books",,"The indigenous languages of the Caucasus","Hewitt, B. George",,"89--154",,,"1","b p pʼ d t tʼ d͡z t͡s t͡sʼ d͡ʑ t͡ɕ t͡ɕ d͡ʑʷ t͡ɕʷ t͡ɕʼʷ d͡ʒ t͡ʃ t͡ʃʼ ɡ k kʼ ɡʲ kʲ kʼʲ ɡʷ kʷ kʼʷ q qʼ qʼʲ qʷ qʼʷ ʔ f z s ʑ ɕ ʒ ʃ ʑʷ ɕʷ ɣ x ɣʲ xʲ ɣʷ xʷ ʕ ħ ʕʷ ħʷ m n l w j r v fʼ ʟ t͡ɬ t͡ɬʼ ç çʷ ə a","-","?","?","?","``Lamino-post-alveolar'' and ``apico-palatal'' are interpreted as alveolo-palatal and palato-alveolar, respectively. ``Fronted dorso-velar'' is interpreted as palatalized velar. The ``[d]orso-palatal voiced lateral fricative'' is transcribed as <ʟ>."
"abkh1244","abk","Abkhaz",41.159115,43.056218,"Abkhaz-Adyge","BOOK","Chirikba, Viacheslav","2003","Abkhaz","Lincom Europa",,,,,,,,,"b p pˀ m w v f d t tˀ d̪ʷ t̪ʷ t̪ˀʷ d̪͡z̪ t̪͡s̪ t̪͡s̪ˀ d̪͡z̪ʷ t̪͡s̪ʷ t̪͡w̪ˀʷ z̪ s̪ n̪ r̪ d͡z t͡s t͡sˀ d͡zʲ t͡sʲ t͡sˀʲ z s zʷ sʷ zʲ sʲ j jʷ l ɡ k kˀ ɡʷ kʷ kˀʷ ɡʲ kʲ kˀʲ qˀ qˀʷ qˀʲ ɣ x ɣʷ xʷ ɣʲ xʲ ħ ħʷ ə a","-","?","?","?",
"adyg1241","ady","Adyghe",39.33,44,"Abkhaz-Adyge","BOOK","Smeets, Henricus Joannes","1984","Studies in West Circassian phonology and morphology","Hakuchi Press",,,,,,,,,"p b pˀ pˀʷ f fʷ m w t d tˀ tˀʷ t͡s d͡z t͡sˀ s z s n t͡ɕʷ d͡ʑʷ ɕ ʑ ɕˀ ɕʷ ʑʷ ɕˀʷ r c͡ç ɟ͡ʝ c͡çˀ ç çˠ ʝ i ɬ ɮ ɬʷ k ɡ kˀ kʷ ɡʷ kˀʷ x ɡ q qʷ χ ɢ χʷ ɢʷ ħ ʔ ʔʷ h ə e a","-","?","ə e a","?",
"akaj1239","akj","Akajeru",92.9504,13.1525,"Great Andamanese","BOOK","Abbi, Anvita","2013","A Grammar of the Great Andamanese Language: An Ethnolinguistic Study","Brill",,,,,,,,,"p b t d ʈ ɖ c j k pʰ tʰ ʈʰ kʰ m n ɲ ŋ r s ʃ l j i u e o ɛ ɔ ɑ ɔː ɑː eː iː oː uː","-","# p b t d ʈ ɖ c j k pʰ tʰ ʈʰ kʰ m n ɲ ŋ r s ʃ l j tr kʰr","i u e o ɛ ɔ ɑ ɔː ɑː eː iː oː uː ia iu io iːo ue iːe iɛ ei eo eɔ ea eu ɛo ɛo ɛi ɛːi ɛo ua uo uɔ ui ue oa oːa oɔ oːɔ ou oi oe oːe oɛ ɔi ɔːe ɔe ɔɛ ɔo ɔa ao aːo aːu au aɛ aːe ae ai aie aou aia aeo eia eoɛ iue ieu ioi oio","# p b t d ʈ ɖ c j k m n ɲ ŋ r s l j",
"amdo1237","adx","Amdo Tibetan",100.485,34.5177,"Sino-Tibetan","BOOK","Ebihara, Shiho","2019","Amudo chibetto go bunpō アムド・チベット語文法 [Amdo Tibetan grammar]","Hitsuji shobō ひつじ書房",,,,,,,,,"p b pʰ t d tʰ ʈ ɖ ʈʰ k ɡ kʰ t͡s d͡z t͡sʰ t͡ɕ d͡ʑ t͡ɕʰ f s z sʰ ʂ ɕ ʑ ç χ ʁ h m n ɲ̟ ŋ l ɹ ɬ w j i y ɛ ɯ ə o ʌ","-","# p b pʰ t d tʰ ʈ ɖ ʈʰ k ɡ kʰ t͡s d͡z t͡sʰ t͡ɕ d͡ʑ t͡ɕʰ f s z sʰ ʂ ɕ ʑ ç χ ʁ h m n ɲ̟ ŋ l ɹ ɬ w j nb npʰ nd ntʰ nɖ nʈʰ nɡ nkʰ hp ht hʈ hk nd͡ʑ nt͡ɕʰ nd͡z nt͡sʰ ht͡ɕ ht͡s hm hn hɲ̟ hŋ hl hj kw kʰw pj kj kʰj wj hpj","i y ɛ ɯ ə o ʌ","# p k m n ŋ l ɹ",
"gily1242","niv","Amur Nivkh",140.681,52.59,"Nivkh","BOOK","Ekaterina Gruzdeva","1998","Nivkh","Lincom",,,,,,,,,"i ɨ u e o a b d ɟ ɡ ɢ p t c k q pʰ tʰ cʰ kʰ qʰ m n ɲ ŋ v z ɣ ʁ f s x χ h l j r̥ r","-","# C CC","i ɨ u e o a","# C CC CCC",
"andi1255","ani","Andi",46.2919,42.8078,"Nakh-Daghestanian","BOOK","Salimov Салимов, X. S. Х. С.","2010","Gagatlinskij govor andijskogo jazyka Гагатлинский говор андийского языка [Gagatli dialect of Andi language]","IJALI ИЯЛИ",,,,,,,,,"i u e o a ĩ ũ ẽ õ ã b pʰ pʼ v m d tʰ tʼ z̪ z s̪ s s̪ː sː d͡z t̪͡s̪ t͡s t̪͡s̪ː t͡sː t̪͡s̪ʼ t͡sʼ t̪͡s̪ʼː t͡sʼː n r ɬ ɬː t͡ɬ t͡ɬʼ l ʝ ɡ kʰ kʼ xː k͡xː k͡xʼː ʁ χ χː ɢ͡ʁ q͡χː q͡χʼː ʔ ɦ h hː","-","?","?","?","``Смычно-гортаные'' interpreted as ejective."
"anga1288","njm","Angami Naga",93.8668,25.6841,"Sino-Tibetan","PHDTHESIS","Kuolie, Duovituo","2004","Structural description of Tenyidie: a Tibeto-Burman language of Nagaland",,"Deccan College",,,,,,,,"p b t d k ɡ pʰ tʰ kʰ m n ɲ ŋ m̥ n̥ ɲ̥ f v s z ç ʝ h p͡f b͡v t͡s d͡z c͡ç ɟ͡ʝ p͡fʰ t͡sʰ c͡çʰ l l̥ r r̥ w j w̥ j̥ i u e ə o ɜ a","H F M R L","# p b t d k ɡ pʰ tʰ kʰ m n ɲ ŋ m̥ n̥ ɲ̥ f v s z ç ʝ h p͡f b͡v t͡s d͡z c͡ç ɟ͡ʝ p͡fʰ t͡sʰ c͡çʰ l l̥ r r̥ w j w̥ j̥ pr pʰr kr kʰr","i u e ə o ɜ a ie uo","#",
"aona1235","njo","Ao Naga",94.3824,26.3241,"Sino-Tibetan","BOOK","Coupe, Alexander Robertson","2007","A Grammar of Mongsen Ao","Mouton de Gruyter",,,,,,,,,"p pʰ t tʰ k kʰ t͡s t͡sʰ t͡ʃ t͡ʃʰ m n ŋ m̥ n̥ ŋ̥ z s h w l ɹ j ʍ l̥ ɹ̥ j̥ i u ə a a̰","H M L","# p pʰ t tʰ k kʰ t͡s t͡sʰ t͡ʃ t͡ʃʰ m n ŋ m̥ n̥ ŋ̥ z s h w l ɹ j ʍ l̥ ɹ̥ j̥","i u ə a a̰ Vw Vj","# p t k m n ŋ ɹ",
"apul1236",,"Apulia-Calabrian Greek",18.166667,40.35,"Indo-European","BOOK","Profili, Olga","1986","Description du système phonétique et phonologique du parler grico de Corigliano d'Otranto [Description of the phonetic and phonological system of the Grico dialect of Corigliano d'Otranto]","Assoc. linguistica Salentina ``Oronzo Parlangèli''",,,,,,,,,"p f v t ðː s t͡s d͡z t͡ʃ ʃ ɟ k x m n nː ɲ l ɾ i ɛ a ɔ u","-","?","?","?",
"arag1245","arg","Aragonese",-0.00919,42.4669,"Indo-European","ARTICLE","Mott, Brian","2007","Chistabino (Pyrenean Aragonese)",,,,,"Journal of the International Phonetic Association","103--114","37",1,,"p b t d k ɡ t͡ʃ m n ɲ ɾ r f θ s ʃ x l ʎ j i e a o u","-","?","i e a o u ie ia io iu ui ue ua uo ei ai oi ui eu au ou iai iau ieu uei uai","?","The ``palatal medial approximant'' <ʝ̞> was transcribed as <j>."
"arch1244","aqc","Archi",46.8267,42.3239,"Nakh-Daghestanian","INCOLLECTION","Marina Chumakina","2021","Archi","Oxford University Press",,"The Oxford Handbook of Languages of the Caucasus","Maria Polinsky",,"280--316",,,,"p pː b t̪ t̪ː d̪ k kː ɡ q ʡ ʔ t̪ʷ d̪ʷ kʷ kːʷ ɡʷ qʷ kʼ kʼʷ qʼ qʼʷ m n̪ r s̪ s̪ː z̪ s̪ʷ s̪ʷː z̪ʷ s sː z ɬ ɬː ɬʷ ɬːʷ ɮ χ χː ʁ χʷ χʷː ʁʷ ħ t̪͡s̪ t̪͡s̪ʷ t͡s t͡sʷ t̪͡s̪ʼ t͡sʼ t̪͡s̪ʼʷ t͡sʼʷ t̪͡s̪ʼʷː t͡sʼʷː w l j i iː e eː ə a aː u uː o oː","-","C","i iː e eː ə a aː u uː o oː","# C RT","The palato-velar affricates transcribed as <kɬ kɬʷ kɬʼ kɬʼʷ> were excluded, as they are not present in PanPhon."
"arom1237","rup","Aromanian",21.2,40.616,"Indo-European","BOOK","Caragiu-Marioțeanu, Matilda","1968","Fono-morfologie aromână; studiu de dialectologie structurală [Aromanian phono-morphology; structural dialectology study]","Editura Academiei Republicii Socialiste România",,,,,,,,,"a ɐ ɨ e i o u p b t̪ d̪ t d t͡ɕ d͡ʑ t͡ʃ d͡ʒ k ɡ f v θ ð s z ɕ ʑ ʃ ʒ x ɣ m n ɲ l ʎ r","-","# p b t̪ d̪ t d t͡ɕ d͡ʑ t͡ʃ d͡ʒ k ɡ f v θ ð s z ɕ ʑ ʃ ʒ x ɣ m n ɲ l ʎ r pt̪ pt ps pʃ pn pl pʎ pr bʒ bl bʎ br t̪f t̪r d̪r ks kl kʎ kr ɡl ɡʎ ɡr ft̪ ft fs fɕ fʃ fl fʎ fr vd̪ vd͡ʒ vɡ vl vr θr ðʒ ðr sp sb st st͡ʃ sk sɡ ɕp ɕb ɕt̪ ɕt͡ɕ ɕt͡ʃ ɕk xt xm xn xl xʎ xr ɣn ɣl ɣʎ ɣr mp mb mk mf mv mn ml mʎ np nb nt̪ nd̪ nt nd nt͡ɕ nd͡ʑ nt͡ʃ nd͡ʒ nk nɡ nf nv nθ ns nɕ nʑ nʃ nʒ nm spl spr sbr st̪r sd̪r skl skʎ skr sɡr sfr zd̪r zɡʎ zɡr ɕt̪r ɕkʎ ɕkr ɕɡʎ ʑɡʎ mpl mpr mbl mbr mt̪r mfl mfr nt̪r nd̪r nkl nkʎ nkr nɡl nɡʎ nɡr nɣr nfl nfr pt͡ɕ pt͡ʃ pk bk bt bz bʒ bɣ bn t̪t t̪t͡ʃ t̪k t̪ʃ t̪m t̪n t̪l t̪ʎ d̪l tt͡ʃ tk tl tʎ dl dʎ t͡ɕk t͡ɕl t͡ɕʎ d͡ʑl d͡ʑʎ t͡ʃl t͡ʃʎ d͡ʒʎ kt̪ kt͡ɕ kθ kz kɕ km kn ɡd̪ ɡz ft͡ɕ fk ft͡ʃ fh fn fɲ vd vd͡ʒ vð vz vʒ vɣ vm θʃ θr ðʒ sd͡ʒ sɲ zd zʎ ɕd̪ ɕf ɕv ɕm ɕn ɕʎ ʑd̪ ʑv ʃl ʃʎ ʒl ʒʎ ht͡ɕ hk ɣd̪ ɣð ɣm ɣl mt̪ mt mt͡ɕ mt͡ʃ ms mɕ mɲ nð nl ɲl ɲʎ lp lb lt̪ ld̪ lt͡ɕ ld͡ʑ kt͡ʃ ld͡ʒ lk lɡ lf lv ls lm ln lɲ ʎl rp rb rt̪ rd̪ rt rd rt͡ɕ rd͡ʑ rt͡ʃ rd͡ʒ rk rɡ rf rv rθ rð rs rz rɕ rʑ rʃ rʒ rx rɣ rm rn rɲ rl rʎ","a ɐ ɨ e i o u iV uV Vi Vu iVi uVu uVi iVu","#","``Prepalatal and palatal occlusives/fricatives'' interpreted as alveolo-palatal and palato-alveolar affricatives/fricatives. Although the triphthong /uVu/ is logically possible, it is not given as an example; here it is assumed to exist."
"fran1260","frp","Arpitan",6.48152,45.8051,"Indo-European","BOOK","Martinent, André","1956","La description phonologie avec application au parler franco-provençal d'Hauteville (Savoie) [The phonological description with application to the Franco-Provençal speech of Hauteville (Savoie)]","Société de publications romanes et françaises",,,,,,,,,"b m f v θ ð t d n l c ɟ ɲ ʎ s z ʃ ʒ k ɡ ɾ ʁ i y u e ø o ɛ ɔ a ĕ ŏ ă ẽ õ ã","-","# b m f v θ ð t d n l c ɟ ɲ ʎ s z ʃ ʒ k ɡ ɾ pɾ bɾ fɾ vɾ tɾ dɾ kɾ ɡɾ pl bl fl kʎ ɡʎ st ʃt","i y u e ø o ɛ ɔ a ĕ ŏ ă ẽ õ ã iV uV","# ɾ","The distinction between the two rhotic consonants, only present intervocally, is between a tap and a trill and/or between an alveolar or an uvular consonant, depending on the speaker (pp. 65--66). Here, they are transcribed as an aveolar tap and an uvular fricative. The source suggests that /ɾ/, which is the only word-final consonant, may be the only coda as well, while not excluding alternative analyses of syllabification (e.g. /ves.tă/ vs. /ve.stă/) that would imply more varieties of coda (p. 94). Here it is treated as the only coda."
"arva1236","aat","Arvanitika Albanian",23.3703,38.283,"Indo-European","BOOK","Sasse, Hans-Jürgen","1991","Arvanitika: Die albanischen Sprachreste in Griechenland [Arvantika: The Albanian language remains in Greece]","Otto Harrassowitz",,,,,,"1",,,"p t c k b d ɟ ɡ f θ s ʃ ç x h v ð z ʒ j ɣ t͡s t͡ʃ d͡z d͡ʒ m n ɲ lˠ ʎ ɾ r i u e ə o a","-","# p t c k b d ɟ ɡ f θ s ʃ ç x h v ð z ʒ j t͡s t͡ʃ d͡z d͡ʒ m n ɲ lˠ ʎ ɾ r ps pn plˠ pɾ pr pʃ pj pʎ br bj bʎ mb mv mn mj mɲ ft flˠ fɾ fr fʃ fj fʎ fx vð vd vlˠ vɾ vr vɟ vj vʎ θn θlˠ θɾ θr θj θʎ ðɾ ðj tm tɾ tj dɾ dr dj sp sf st sc sj sk sx zb zm zv zɟ zj t͡sj nd nd͡z nɟ nɡ ɾj rj ʃp ʃt ʃc ʃj ʃk ʒɟ ks klˠ kɾ kr kʃ kʎ ɡɾ ɡr ɡʎ xt xn xlˠ xɾ xr xʎ ɣð ɣn ɣlˠ ɣɾ ɣʎ hɾ ʃklˠ ʃkʎ ʃkɾ ʃtɾ skl stɾ zbʎ zbɾ zɡʎ mbʎ mbɾ ndɾ ndr nɡʎ nɡɾ sm","i u e ə o a ie ua","# p t c k b d ɟ ɡ f θ s ʃ ç x h v ð z ʒ j ɣ t͡s t͡ʃ d͡z d͡ʒ m n ɲ lˠ ʎ ɾ r ɾs pθ ps mb mn mʃ mɲ ft fs fʃ fʎ sp st sc sç sk zm nd nd͡z nɟ nɡ ɾp ɾb ɾm ɾθ ɾð ɾt ɾs ɾd͡z ɾc ɾɟ ɾç ɾj ɾɲ ɾk ɾɡ ɾx rn rk ʃt ʃc ʃk ʒd jm ʎb ʎm ʎθ ʎt ʎc ʎk kθ ks xt",
"asho1236","csh","Asho Chin",93.5069,21.393,"Sino-Tibetan","PHDTHESIS","Zakaria, Muhammad","2018","A grammar of Hyow",,"Nanyang Technological University",,,,,,,,"b d p t k ʔ pʰ tʰ kʰ t͡s ʃ h m n ŋ m̥ n̥ ŋ̥ l j w l̥ j̥ i ʉ u e ɘ o æ a ɔ","52 44 22/11","# b d p t k ʔ pʰ tʰ kʰ t͡s ʃ h m n ŋ m̥ n̥ ŋ̥ l j w l̥ j̥ pl pj pw pʰl pʰj pʰw tl tj tw tʰj tʰw kl kj kw kʰl kʰj kʰw bl bj bw dj dw t͡sj t͡sw ʃj ʃw ml mj mw m̥j m̥w nj nw n̥j n̥w ŋj ŋw ŋ̥j ŋ̥w lj lw","i ʉ u e ɘ o æ a ɔ","# p t k ʔ m n ŋ l w j ʔl ʔj ʔw ʔm ʔn ʔŋ",
"assa1263","asm","Assamese",91.2932,26.0876,"Indo-European","BOOK","Goswami, G.","1966","An Introduction to Assamese Phonology","Deccan College Postgraduate and Research Institute",,,,,,,,,"p b t d k ɡ pʰ b̤ tʰ d̤ kʰ ɡ̤ s z x ɦ m n ŋ l r w j i u e o ɛ ɔ a ɒ ĩ ẽ ɛ̃ ã ɒ̃ õ ũ","-","# p b t d k ɡ pʰ b̤ tʰ d̤ kʰ ɡ̤ s z x ɦ m n ŋ l r j w pr tr kr br dr ɡr b̤r d̤r ɡ̤r mr nr sr ɦr pl kl ɡl ml sl tj bj ɡj kʰj d̤j mj nj sj zj sp st sk spʰ stʰ skʰ sm sn sr sl sj sw spr str skr smr ɡ̤j","i u e o ɛ ɔ a ɒ ii ee oo uu aa ĩ ẽ ɛ̃ ã ɒ̃ õ ũ","# p b t d k ɡ pʰ b̤ tʰ d̤ kʰ ɡ̤ s z x ɦ m n ŋ l r mp nt nd nd̤ ns rt rs rz rɦ",
"assy1241","aii","Assyrian Neo-Aramaic",43,36.75,"Afro-Asiatic","BOOK","Khan, Geoffrey","2008","The Neo-Aramaic Dialect of Barwar","Brill",,,,,,,,,"pʰ tʰ kʰ t͡ʃʰ qʰ ʔʰ p t k t͡ʃ b d ɡ d͡ʒ pˤ tˤ t͡ʃˤ f θ x ħ h s ʃ v ð z ʒ ɡ sˤ zˤ m n mˤ l lˤ r rˤ w j i u ŭ e o ə ɛ a ă","-","C CC","i u ŭ e o ə ɛ a ă ey aw","# C",
"astu1245","ast","Asturian-Leonese-Cantabrian",-6.02227,42.4181,"Indo-European","BOOK","de la Llingua Asturiana, Academia","2001","Gramática de Llingua Asturiana [Grammar of Asturian language]","Academia de la Llingua Asturiana",,,,,,,,"3","p t c k b d ɟ ɡ f θ s ç m n ɲ l ʎ ɾ r i u e o a","-","# p t c k b d ɟ ɡ f θ s ç m n ɲ l ʎ ɾ r pl tl cl bl ɡl fl pɾ tɾ cɾ bɾ dɾ ɡɾ fɾ zɾ","i u e o a ie ia io ue ua uo ai au ei eu oi ou iu ui ii uu iai iei ioi iau ieu uai uei uau ueu","# θ s ç m n ɲ l ʎ ɾ r p b t d k ɡ",
"aton1241","aot","Atong (India)",90.658722,25.346508,"Sino-Tibetan","PHDTHESIS","van Breugel, Seino","2008","A Grammar of Atong",,"LaTrobe University",,,,,,,,"pʰ tʰ kʰ p t k b d ɡ t͡ɕ d͡ʑ ɕ h ɾ l m n ŋ w j i u e ə o a","-","# pʰ tʰ kʰ p t k b d ɡ t͡ɕ d͡ʑ ɕ h ɾ l m n w","i u e ə o a","# p t k ɕ m n ŋ l w j",
"avar1256","ava","Avar",46.558,41.7047,"Nakh-Daghestanian","INCOLLECTION","Diana Forker","2021","Archi","Oxford University Press",,"The Oxford Handbook of Languages of the Caucasus","Maria Polinsky",,"242--279",,,,"i e u o a p b t d tʼ k ɡ kʼ ʡ ʔ q qʼ s z ɬ ʒ χ ʁ ħ h sː ɬː ʃː xː χː t͡s t͡sʼ t͡ʃ t͡ʃʼ t͡sː t͡sʼː t͡ɬː t͡ɬʼː t͡ʃː t͡ʃʼː k͡xː k͡xʼː m n r l w j","-","C","i e u o a","# C rC lC nC mC jC",
"baba1267","mbf","Baba Malay",103.076,1.75414,"Austronesian","PHDTHESIS","Lee, Nala H.","2014","A grammar of Baba Malay with sociophonetic considerations",,"University of Hawai'i at Mānoa",,,,,,,,"p t k ʔ b d ɡ t͡ʃ d͡ʒ s h m n ɲ ŋ l ɾ w j i u e ə o ɛ a ɔ","-","# p t k ʔ b d ɡ t͡ʃ d͡ʒ s h m n ɲ ŋ l ɾ w j Cw Cj","i u e ə o ɛ a ɔ","# p t k ʔ b d ɡ s h m n ɲ ŋ l ɾ w j wC jC",
"bada1257","bfq","Badaga",76.5974,11.3094,"Dravidian","PHDTHESIS","Pilot-Raichoor, Christiane","1991","Le badaga: langue dravidienne (Inde) ; description et analyse [Badaga: Dravidian language (India); description and analysis]",,"Université de la Sorbonne Nouvelle (Paris 3)",,,,,,,,"p t ʈ t͡ʃ k b d ɖ d͡ʒ ç ɡ s m n ɳ v l ɭ j r mː vː dː nː lː ɖː ɳː ɭː ɡː a e i o u aː eː iː oː uː","-","# p t ʈ t͡ʃ k b d ɖ d͡ʒ ç ɡ s m n ɳ v l ɭ j r mː vː dː nː lː ɖː ɳː ɭː ɡː","a e i o u aː eː iː oː uː","# mː vː dː nː lː ɖː ɳː ɭː ɡː m n ɳ r s ʈ",
"bagv1239","kva","Bagvalal",46.1041,42.3966,"Nakh-Daghestanian","BOOK","Kibrik Кибрик, Alexander Evgen'evič Александер Евгеньевич and Kazenin Казенин, Konstantin Igorevič Константин Игоревич and Ljutikova Лютикова, Ekaterina Anatol'evna Екатерина Анатольевна Tatevosov Татевосов, Sergey Geogriebič Сергей Георгиевич","2001","Bagvalinskij jazyk: grammatika, teksty, slovari Багвалинский язык: Грамматика, тексты, словари [Bagvalin language: Grammar, texts, dictionaries]","IMLI RAN, Nasledie ИМЛИ РАН, Наследие",,,,,,,,,"b d dʷ d͡ʑ ɡ ɡʷ p t tʷ t͡s t͡sʷ t͡ɕ t͡ɕʷ k kʷ q qʷ tʼ tʼʷ t͡ɬʼ t͡ɬʼʷ t͡sʼ t͡sʼʷ t͡ɕʼ t͡ɕʼʷ kʼ kʼʷ qʼ qʼʷ ʔ z zʷ ʑ ʑʷ ʁ ʁʷ ʕ ɬ ɬː s sː sʷ sːʷ ɕ ɕʷ ɕːʷ x χ χʷ χː χːʷ ħ h hʷ sʼ sʼʷ ɕʼ ɕʼʷ m n r rʷ l lʷ w j i iː ĩ ĩː u uː ũ ũː e eː ẽ ẽː o oː a aː ã ãː","-","C","i iː ĩ ĩː u uː ũ ũː e eː ẽ ẽː o oː a aː ã ãː","# C RT","The ``shipjash'ije'' [hushing] consonants are transcribed here as as alveo-palatal."
"baha1259","abv","Baharna Arabic",50.580811,26.223615,"Afro-Asiatic","BOOK","Abdalla Al-Tajir, Mahdi","1982","Language and linguistics origins in Baḥrain : the Baḥārnah dialect of Arabic","Kegan Paul International",,,,,,,,,"b m f w s̪ z̪ t d s t͡s d͡z r l n tˤ dˤ sˤ j k ɡ x ɣ ħ ʕ ʔ h a i u e o aː eː iː oː uː","-","C PZ ZP ZZ PP","aː eː iː oː uː","# C CC","The phonemic status of /ɑ ɑː/ is unclear, hence not listed here. ``Initial'' consonant clusters are interpreted as onset clusters."
"balt1257","rml","Baltic Romani",38,60,"Indo-European","PHDTHESIS","Tenser, Anton","2008","The Northeastern Group of Romani Dialects",,"University of Manchester",,,,,,,,"p t k pʲ tʲ kʲ pʰ tʰ kʰ tʲʰ kʲʰ b d ɡ bʲ dʲ ɡʲ m n mʲ nʲ c t͡s̻ʲ t͡s̻ʲʰ d͡z̻ʲ f s s̻ x sʲ xʲ v z z̻ j ɣ vʲ zʲ ɣʲ l lʲ r rʲ a e i o u y ə","-","?","?","?",
"bant1281","bap","Bantawa",87.04738,27.12147,"Sino-Tibetan","PHDTHESIS","Doornenbal, Marius","2009","A grammar of Bantawa: Grammar, paradigm tables, glossary and texts of a Rai language of Eastern Nepal",,"Rijksuniversiteit te Leiden",,,,,,,,"p b t d k ɡ pʰ tʰ kʰ t͡s d͡z t͡sʰ d͡z̤ m n ŋ s h w j l r i ɨ u e o a ə","-","ʔ p b t d k ɡ pʰ tʰ kʰ t͡s d͡z t͡sʰ d͡z̤ m n ŋ s h w j l r Tj Tw","i ɨ u e o a əj","# p t k m n ŋ",
"bash1264","bak","Bashkir",56.5594,53.5967,"Turkic","BOOK","Nicholas N. Poppe","1964","Bashkir Manual","Indiana University",,,,,,,,,"i y ə ø a u ɯ o ɑ e ɔ p b m w f θ ð t d s z l n r ɕ ʑ j k ɡ x ŋ q ʁ ʔ h","-","# p b m w f ð t d s z l n r ɕ ʑ j k ɡ x q ʁ ʔ h","i y ə ø a u ɯ o ɑ e ɔ","# p m w θ ð t s l n r ɕ ʑ j k x ŋ q CC","The source only provides the list of word-medial intervocalic clusters and no word-final clusters. For the analysis here, it is assumed that all word-medial clusters are heterosyllabic (VC.CV). The maximal syllable structure, CVCC, is that of the native words (p. 12)."
"basq1248","eus","Basque",-1.31622,43.2787,"Basque","BOOK","Hualde, José I. and de Urbina, Jon Ortiz","2003","A Grammar of Basque","Mouton de Gruyter",,,,,,,,,"p b f m t d s̺ t͡s̺ n l ɾ r s̻ t͡s̻ c ɟ ʃ t͡ʃ ɲ ʎ k ɡ x i e u o a","-","# C CŁ","i e u o a ai ei oi ui au eu","# m n l r s̻ s̺ ʃ t͡s̻ t͡s̺ t͡ʃ t k NS ŁS ŁČ St",
"bats1242","bbl","Bats",45.344,42.1806,"Nakh-Daghestanian","INCOLLECTION","Holisky, Dee Ann and Rusudan Gagua","1994","Tsova-Tush (Batsbi)","Caravan Books",,"The indigenous languages of the Caucasus","Smeets, Rieks",,"147--212","4",,,"p b pʼ m v s s⁺ ɬ z n ɾ l l⁺ t t⁺ d tʼ tʼ⁺ t͡s d͡z t͡sʼ t͡ɕ d͡ʑ t͡ɕʼ ɕ ɕ⁺ ʑ j k ɡ kʼ x x⁺ ɣ q q⁺ qʼ qʼ⁺ ħ ʕ ʔ h i u e o a","-","C CC CCC","i u e o a ui oi ei ai ou au","# C CC CCC",
"bava1246","bar","Bavarian",13.246,47.9232,"Indo-European","ARTICLE","Moosmüller, Sylvia and Schmid, Carolin and Brandstätter, Julia","2015","Standard Austrian German",,,,,"Journal of the International Phonetic Association","339--348","45",3,,"p b t d k ɡ m n ŋ r ʀ f v s ʃ ç h p͡f t͡s t͡ʃ ks j l i ɨ y ʏ e ɛ ø œ u ʊ o ɔ ɑ","-","?","?","?",
"bela1254","bel","Belarusian",25.6038,53.2307,"Indo-European","ARTICLE","Bird, Sonya and Litvin, Natallia","2021","Belarusian",,,,,"Journal of the International Phonetic Association","450--467","51",3,,"p b pʲ bʲ t d k kʲ t͡s d͡z t͡sʲ d͡zʲ t͡ʃ d͡ʒ m mʲ n nʲ r f v fʲ vʲ s z sʲ zʲ ʂ ʐ x xʲ ɣʲ ʁ w j l lʲ i e a o u","-","?","?","?",
"beng1280","ben","Bengali",90,24,"Indo-European","BOOK","Thompson, Hanne-Ruth","2012","Bengali","John Benjamins Publishing Company",,,,,,,,,"i e æ a ɔ o u ĩ ẽ ã ɔ̃ õ ũ p t ʈ c k pʰ tʰ ʈʰ cʰ kʰ b d ɖ ɟ ɡ b̤ d̤ ɖ̤ ɟ̤ ɡ̤ m n ɳ ɲ ŋ ɾ ɽ l s ʂ ç h j","-","# C CC","i e æ a ɔ o u ĩ ẽ ã ɔ̃ õ ũ","# C",
