"Glottocode","ISO","Lect","lon","lat","Family","Type","Author","Year","Title","Publisher","School","Booktitle","Editor","Journal","Pages","Volume","Number","Edition","Phoneme","Tone","Onset","Nucleus","Coda","Note"
"musl1236","ttt","Muslim Tat",46.645589,41.425062,"Indo-European","PHDTHESIS","Mammadova, Nayiba","2017","Eléments de description et documentation du tat de l'Apshéron, langue iranienne d'Azerbaïdjan [Elements of description and documentation of the Apsheron tat, Iranian language of Azerbaijan]",,"INALCO",,,,,,,,"ɑ e æ i ɯ y u o œ p b v f m s t d z n ʃ t͡ʃ ʐ ɖ͡ʐ l r j k ɟ χ q ʁ h","-","?","?","?",
"naga1394","nag","Naga Pidgin",93.4438,25.2508,"Indo-European","PHDTHESIS","Bhattacharjya, Dwijen","2001","The Genesis and Development of Nagamese: Its Social History and Linguistic Structure",,"City University of New York",,,,,,,,"i u e o ɔ a ə p b t d k ɡ pʰ b̤ tʰ d̤ kʰ ɡ̤ s z h t͡ʃ d͡ʒ t͡ʃʰ d͡ʒ̤ m n ŋ l r w j","-","# C CC","i u e o ɔ a ju ja jɔ eu ei eə ai ae au ao ui wə oi ou oe","# C CC","The diphthongs <ae̞> and <oe̞> were transcribed as <ae> and <oe>, as /e/ and /e̞/ do not seem contrastive."
"nana1257","gld","Nanai",134.797,48.4343,"Tungusic","BOOK","Jin 金, Lina 莉娜 and Cheng 程, Yaheng 亚恒","2019","Heilongjiang tongjiang hezheyu 黑龙江同江赫哲语 [Nanai language in Tongjiang, Heilongjiang]","Shangwu Yinshuguan 商務印书馆",,,,,,,,,"p pʰ m w f t tʰ n l t͡s t͡sʰ s ʈ͡ʂ ʈ͡ʂʰ ʂ r t͡ɕ t͡ɕʰ ɕ j k kʰ x ŋ a ə ɔ œ i o u y","-","# p pʰ m w f t tʰ n l t͡s t͡sʰ s ʈ͡ʂ ʈ͡ʂʰ ʂ r t͡ɕ t͡ɕʰ ɕ j k kʰ x","a ə ɔ œ i o u y ai au əi əu ia iə io iu ɔi ɔu ui ua uə yə iau uai uəi","# m n ŋ",
"yong1270","nru","Narua",100.9,27.8,"Sino-Tibetan","PHDTHESIS","Lidz, Liberty A.","2010","A Descriptive Grammar of Yongning Na (Mosuo)",,"University of Texas at Austin",,,,,,,,"pʰ p b tʰ t d kʰ k ɡ qʰ q ɢ m n ɲ f s z ɕ ʑ ʂ ʐ ɣ h t͡sʰ t͡s d͡z t͡ɕʰ t͡ɕ d͡ʑ ʈ͡ʂʰ ʈ͡ʂ ɖ͡ʐ ɬ w j l i ɯ u v ɛ ɤ ɔ æ ɑ æ̃","55 33 31 13","pʰ p b tʰ t d kʰ k ɡ qʰ q ɢ m n ɲ f s z ɕ ʑ ʂ ʐ ɣ h t͡sʰ t͡s d͡z t͡ɕʰ t͡ɕ d͡ʑ ʈ͡ʂʰ ʈ͡ʂ ɖ͡ʐ ɬ w j l ʔ","i ɯ u v ɛ ɤ ɔ æ ɑ æ̃ uɤ uɔ uæ","#",
"nauk1242","ynk","Naukan Yupik",-171.755,65.5184,"Eskimo-Aleut","BOOK","Menovščikov Меновщиков, Georgij A. Георгий А.","1975","Jazyk naukanskix èskimosov Язык науканских эскимосов [Language of the Naukan Eskimo]","Nauka Наука",,,,,,,,,"i ɨ u a p t k q m n ŋ s x χ v w j ɣ l r","-","# C","V","# C",
"negi1245","neg","Negidal",139.206,52.9658,"Tungusic","INCOLLECTION","Pakendorf, Brigitte and Aralova, Natalia","2020","Even and the Northern Tungusic languages","Oxford University Press",,"The Oxford guide to the Transeurasian languages","Robbeets, Martine and Savelyev, Alexander",,"288--304",,,"1","p b t d ɟ k ɡ β s h t͡ɕ m n ɲ ŋ r j l i iː u uː e eː ə o oː a aː ɑː","-","# C","i iː u uː e eː ə o oː a aː ɑː ie","# C",
"nucl1706","mid","Neo-Mandaic",48.8128,31.3443,"Afro-Asiatic","BOOK","Häberl, Charles","2009","The Neo-Mandaic Dialect of Khorramshahr","Harrassowitz",,,,,,,,,"p t t͡ʃ k q b d d͡ʒ ɡ tˤ f θ s ʃ χ ħ h v z ʁ ʕ sˤ m n l r w j i u e ə o a ɔ","-","# p t t͡ʃ k q b d d͡ʒ ɡ tˤ f θ s ʃ χ ħ h v z ʁ ʕ sˤ m n l r w j PR SR SP","m n r w j i u e ə o a ɔ ej aj aw av ɔj ɔw","# p t t͡ʃ k q b d d͡ʒ ɡ tˤ f θ s ʃ χ ħ v z ʁ sˤ m n l r PR SR SP RP RF",
"nepa1254","npi","Nepali",85,28,"Indo-European","PHDTHESIS","Acharya, Jayaraj","1990","A descriptive grammar of Nepali and an analyzed corpus",,"Georgetown University",,,,,,,,"i ĩ u ũ e ẽ a ã o aː ãː p t tʲ c k pʰ tʰ tʰʲ cʰ kʰ b d dʲ ɟ ɡ b̤ d̤ d̤ʲ ɟ̤ ɡ̤ m n ŋ s h l r j w","-","# p t tʲ c k pʰ tʰ tʰʲ cʰ kʰ b d dʲ ɟ ɡ b̤ d̤ d̤ʲ ɟ̤ ɡ̤ m n ŋ s h l r j w Cj Cw","i ĩ u ũ e ẽ a ã o aː ãː","# p t tʲ c k pʰ tʰ tʰʲ cʰ kʰ b d dʲ ɟ ɡ b̤ d̤ d̤ʲ ɟ̤ ɡ̤ m n ŋ s l r jC wC",
"ngan1291","nio","Nganasan",86.2106,73.1354,"Uralic","BOOK","Wagner-Nagy, Beáta Boglárka","2019","A grammar of Nganasan","Brill",,,,,,,,,"b t d ɟ k ɡ ʔ m n ɲ ŋ r ð s sʲ h j l lʲ i y ɨ u e ə o ɑ","-","# b t d ɟ k ɡ m n ɲ ŋ r ð s sʲ h l lʲ","i y ɨ u e ə o ɑ ia ua","# b ʔ m n ŋ j r l lʲ",
"niha1238","nll","Nihali",76.3318,21.1886,"Nihali","BOOK","Nagaraja, K. S.","2014","The Nihali Language (Grammar, Texts, Vocabulary)","Central Institute of Indian Languages",,,,,,,,,"p t ʈ c k pʰ tʰ ʈʰ cʰ kʰ b d ɖ ɟ ɡ b̤ d̤ ɖ̤ ɟ̤ ɡ̤ m n ɲ s h r ɽ l w j i iː u uː e eː o oː a aː","-","# p t ʈ c k pʰ tʰ ʈʰ cʰ kʰ b d ɖ ɟ ɡ b̤ d̤ ɖ̤ ɟ̤ ɡ̤ m n ɲ s h r ɽ l w j ʈʰ ɖ̤ Cj Cw cr ɟr ʈl","i iː u uː e eː o oː a aː","# p b t d ʈ ɖ c ɟ k ɡ m n ɲ r l w j pʰ tʰ ʈʰ kʰ s h ɽ mp nd nɖ nɡ jt jc jɟ jɲ rk mb rm","The source notes that [ə] is phonetically present, but doesn't specify in what contexts it is used."
